"","sample","maxGeneset"
"TTC103-0729","P0729","cytotoxic1"
"TTC106-0729","P0729","cytotoxic1"
"TTC107-0729","P0729","cytotoxic1"
"TTC108-0729","P0729","cytotoxic1"
"TTC109-0729","P0729","predysfunctional3"
"TTC111-0729","P0729","cytotoxic1"
"TTC112-0729","P0729","predysfunctional3"
"TTC114-0729","P0729","naive2"
"TTC115-0729","P0729","predysfunctional3"
"TTC117-0729","P0729","naive2"
"TTC120-0729","P0729","cytotoxic1"
"TTC121-0729","P0729","predysfunctional3"
"TTC122-0729","P0729","predysfunctional3"
"TTC129-0729","P0729","cytotoxic1"
"TTC132-0729","P0729","cytotoxic1"
"TTC153-0729","P0729","cytotoxic1"
"TTC192-0729","P0729","cytotoxic1"
"TTC98-0729","P0729","cytotoxic1"
"NTC100-0729","P0729","cytotoxic1"
"NTC103-0729","P0729","cytotoxic1"
"NTC104-0729","P0729","cytotoxic1"
"NTC107-0729","P0729","dysfunctional4"
"NTC112-0729","P0729","cytotoxic1"
"NTC113-0729","P0729","cytotoxic1"
"NTC115-0729","P0729","cytotoxic1"
"NTC120-0729","P0729","cytotoxic1"
"NTC123-0729","P0729","predysfunctional3"
"NTC126-0729","P0729","cytotoxic1"
"NTC127-0729","P0729","dysfunctional4"
"NTC128-0729","P0729","cytotoxic1"
"NTC129-0729","P0729","dysfunctional4"
"NTC131-0729","P0729","predysfunctional3"
"NTC134-0729","P0729","cytotoxic1"
"NTC139-0729","P0729","cytotoxic1"
"NTC140-0729","P0729","cytotoxic1"
"NTC141-0729","P0729","cytotoxic1"
"NTC145-0729","P0729","cytotoxic1"
"NTC147-0729","P0729","cytotoxic1"
"NTC97-0729","P0729","cytotoxic1"
"NTC98-0729","P0729","dysfunctional4"
"TTC102-0729","P0729","predysfunctional3"
"TTC110-0729","P0729","cytotoxic1"
"TTC116-0729","P0729","cytotoxic1"
"TTC123-0729","P0729","cytotoxic1"
"TTC126-0729","P0729","cytotoxic1"
"TTC127-0729","P0729","cytotoxic1"
"TTC128-0729","P0729","naive2"
"TTC134-0729","P0729","naive2"
"TTC135-0729","P0729","predysfunctional3"
"TTC138-0729","P0729","cytotoxic1"
"TTC140-0729","P0729","predysfunctional3"
"TTC141-0729","P0729","cytotoxic1"
"TTC142-0729","P0729","cytotoxic1"
"TTC143-0729","P0729","predysfunctional3"
"TTC144-0729","P0729","cytotoxic1"
"TTC145-0729","P0729","cytotoxic1"
"TTC147-0729","P0729","cytotoxic1"
"TTC148-0729","P0729","cytotoxic1"
"TTC149-0729","P0729","naive2"
"TTC151-0729","P0729","cytotoxic1"
"TTC152-0729","P0729","cytotoxic1"
"TTC154-0729","P0729","cytotoxic1"
"TTC155-0729","P0729","predysfunctional3"
"TTC158-0729","P0729","cytotoxic1"
"TTC161-0729","P0729","cytotoxic1"
"TTC162-0729","P0729","cytotoxic1"
"TTC163-0729","P0729","cytotoxic1"
"TTC165-0729","P0729","cytotoxic1"
"TTC166-0729","P0729","naive2"
"TTC169-0729","P0729","cytotoxic1"
"TTC170-0729","P0729","cytotoxic1"
"TTC171-0729","P0729","cytotoxic1"
"TTC172-0729","P0729","predysfunctional3"
"TTC173-0729","P0729","cytotoxic1"
"TTC174-0729","P0729","cytotoxic1"
"TTC175-0729","P0729","cytotoxic1"
"TTC176-0729","P0729","cytotoxic1"
"TTC177-0729","P0729","dysfunctional4"
"TTC178-0729","P0729","cytotoxic1"
"TTC179-0729","P0729","predysfunctional3"
"TTC180-0729","P0729","cytotoxic1"
"TTC181-0729","P0729","cytotoxic1"
"TTC184-0729","P0729","cytotoxic1"
"TTC185-0729","P0729","cytotoxic1"
"TTC186-0729","P0729","cytotoxic1"
"TTC187-0729","P0729","dysfunctional4"
"TTC190-0729","P0729","cytotoxic1"
"TTC97-0729","P0729","cytotoxic1"
"NTC108-0729","P0729","predysfunctional3"
"NTC116-0729","P0729","naive2"
"NTC117-0729","P0729","dysfunctional4"
"NTC118-0729","P0729","dysfunctional4"
"NTC119-0729","P0729","cytotoxic1"
"NTC133-0729","P0729","cytotoxic1"
"NTC136-0729","P0729","predysfunctional3"
"NTC146-0729","P0729","cytotoxic1"
"NTC148-0729","P0729","cytotoxic1"
"NTC149-0729","P0729","cytotoxic1"
"NTC153-0729","P0729","cytotoxic1"
"NTC155-0729","P0729","dysfunctional4"
"NTC156-0729","P0729","predysfunctional3"
"NTC157-0729","P0729","cytotoxic1"
"NTC160-0729","P0729","cytotoxic1"
"NTC161-0729","P0729","cytotoxic1"
"NTC162-0729","P0729","cytotoxic1"
"NTC163-0729","P0729","cytotoxic1"
"NTC165-0729","P0729","naive2"
"NTC166-0729","P0729","cytotoxic1"
"NTC170-0729","P0729","cytotoxic1"
"NTC171-0729","P0729","cytotoxic1"
"NTC172-0729","P0729","cytotoxic1"
"NTC175-0729","P0729","cytotoxic1"
"NTC176-0729","P0729","cytotoxic1"
"NTC177-0729","P0729","predysfunctional3"
"NTC178-0729","P0729","cytotoxic1"
"NTC179-0729","P0729","predysfunctional3"
"NTC180-0729","P0729","cytotoxic1"
"NTC181-0729","P0729","naive2"
"NTC182-0729","P0729","predysfunctional3"
"NTC183-0729","P0729","cytotoxic1"
"NTC184-0729","P0729","cytotoxic1"
"NTC185-0729","P0729","cytotoxic1"
"NTC186-0729","P0729","cytotoxic1"
"NTC187-0729","P0729","predysfunctional3"
"NTC190-0729","P0729","dysfunctional4"
"NTC191-0729","P0729","cytotoxic1"
"NTC192-0729","P0729","cytotoxic1"
"PTC103-0729","P0729","naive2"
"PTC104-0729","P0729","naive2"
"PTC110-0729","P0729","cytotoxic1"
"PTC124-0729","P0729","cytotoxic1"
"PTC126-0729","P0729","naive2"
"PTC128-0729","P0729","cytotoxic1"
"PTC130-0729","P0729","cytotoxic1"
"PTC134-0729","P0729","cytotoxic1"
"PTC136-0729","P0729","cytotoxic1"
"PTC137-0729","P0729","cytotoxic1"
"PTC138-0729","P0729","cytotoxic1"
"PTC144-0729","P0729","cytotoxic1"
"PTC146-0729","P0729","cytotoxic1"
"PTC147-0729","P0729","cytotoxic1"
"PTC148-0729","P0729","cytotoxic1"
"PTC150-0729","P0729","cytotoxic1"
"PTC151-0729","P0729","naive2"
"PTC154-0729","P0729","cytotoxic1"
"PTC155-0729","P0729","cytotoxic1"
"PTC157-0729","P0729","cytotoxic1"
"PTC158-0729","P0729","cytotoxic1"
"PTC159-0729","P0729","cytotoxic1"
"PTC160-0729","P0729","cytotoxic1"
"PTC162-0729","P0729","naive2"
"PTC164-0729","P0729","cytotoxic1"
"PTC165-0729","P0729","naive2"
"PTC166-0729","P0729","cytotoxic1"
"PTC168-0729","P0729","cytotoxic1"
"PTC169-0729","P0729","cytotoxic1"
"PTC170-0729","P0729","cytotoxic1"
"PTC173-0729","P0729","cytotoxic1"
"PTC180-0729","P0729","cytotoxic1"
"PTC181-0729","P0729","cytotoxic1"
"PTC183-0729","P0729","cytotoxic1"
"PTC185-0729","P0729","predysfunctional3"
"PTC188-0729","P0729","naive2"
"PTC190-0729","P0729","naive2"
"PTC192-0729","P0729","naive2"
"NTC2-0913","P0913","cytotoxic1"
"NTC30-0913","P0913","predysfunctional3"
"NTC31-0913","P0913","cytotoxic1"
"NTC32-0913","P0913","cytotoxic1"
"NTC35-0913","P0913","cytotoxic1"
"NTC36-0913","P0913","cytotoxic1"
"NTC45-0913","P0913","cytotoxic1"
"NTC47-0913","P0913","cytotoxic1"
"NTC50-0913","P0913","cytotoxic1"
"NTC51-0913","P0913","cytotoxic1"
"NTC53-0913","P0913","cytotoxic1"
"NTC57-0913","P0913","cytotoxic1"
"NTC58-0913","P0913","cytotoxic1"
"NTC59-0913","P0913","cytotoxic1"
"NTC60-0913","P0913","predysfunctional3"
"NTC65-0913","P0913","cytotoxic1"
"NTC66-0913","P0913","naive2"
"NTC69-0913","P0913","cytotoxic1"
"NTC71-0913","P0913","cytotoxic1"
"NTC73-0913","P0913","cytotoxic1"
"NTC74-0913","P0913","cytotoxic1"
"NTC76-0913","P0913","cytotoxic1"
"NTC77-0913","P0913","dysfunctional4"
"NTC79-0913","P0913","cytotoxic1"
"NTC81-0913","P0913","cytotoxic1"
"NTC83-0913","P0913","predysfunctional3"
"NTC85-0913","P0913","predysfunctional3"
"NTC89-0913","P0913","cytotoxic1"
"NTC90-0913","P0913","cytotoxic1"
"NTC91-0913","P0913","predysfunctional3"
"TTC10-0913","P0913","predysfunctional3"
"TTC11-0913","P0913","predysfunctional3"
"TTC12-0913","P0913","dysfunctional4"
"TTC15-0913","P0913","naive2"
"TTC17-0913","P0913","cytotoxic1"
"TTC18-0913","P0913","predysfunctional3"
"TTC19-0913","P0913","cytotoxic1"
"TTC20-0913","P0913","naive2"
"TTC21-0913","P0913","cytotoxic1"
"TTC22-0913","P0913","predysfunctional3"
"TTC23-0913","P0913","cytotoxic1"
"TTC24-0913","P0913","predysfunctional3"
"TTC3-0913","P0913","predysfunctional3"
"TTC31-0913","P0913","cytotoxic1"
"TTC34-0913","P0913","cytotoxic1"
"TTC35-0913","P0913","naive2"
"TTC37-0913","P0913","predysfunctional3"
"TTC38-0913","P0913","cytotoxic1"
"TTC39-0913","P0913","cytotoxic1"
"TTC40-0913","P0913","naive2"
"TTC42-0913","P0913","cytotoxic1"
"TTC43-0913","P0913","cytotoxic1"
"TTC44-0913","P0913","dysfunctional4"
"TTC45-0913","P0913","predysfunctional3"
"TTC46-0913","P0913","cytotoxic1"
"TTC47-0913","P0913","cytotoxic1"
"TTC48-0913","P0913","cytotoxic1"
"TTC5-0913","P0913","predysfunctional3"
"TTC51-0913","P0913","predysfunctional3"
"TTC52-0913","P0913","cytotoxic1"
"TTC53-0913","P0913","predysfunctional3"
"TTC54-0913","P0913","predysfunctional3"
"TTC55-0913","P0913","dysfunctional4"
"TTC56-0913","P0913","predysfunctional3"
"TTC57-0913","P0913","predysfunctional3"
"TTC58-0913","P0913","predysfunctional3"
"TTC60-0913","P0913","dysfunctional4"
"TTC6-0913","P0913","predysfunctional3"
"TTC61-0913","P0913","cytotoxic1"
"TTC62-0913","P0913","dysfunctional4"
"TTC63-0913","P0913","cytotoxic1"
"TTC64-0913","P0913","cytotoxic1"
"TTC66-0913","P0913","dysfunctional4"
"TTC68-0913","P0913","cytotoxic1"
"TTC70-0913","P0913","cytotoxic1"
"TTC7-0913","P0913","dysfunctional4"
"TTC71-0913","P0913","naive2"
"TTC72-0913","P0913","predysfunctional3"
"TTC73-0913","P0913","naive2"
"TTC74-0913","P0913","cytotoxic1"
"TTC75-0913","P0913","predysfunctional3"
"TTC76-0913","P0913","cytotoxic1"
"TTC77-0913","P0913","cytotoxic1"
"TTC78-0913","P0913","naive2"
"TTC79-0913","P0913","predysfunctional3"
"TTC8-0913","P0913","naive2"
"TTC82-0913","P0913","predysfunctional3"
"TTC84-0913","P0913","naive2"
"TTC85-0913","P0913","dysfunctional4"
"TTC86-0913","P0913","naive2"
"TTC87-0913","P0913","predysfunctional3"
"TTC88-0913","P0913","cytotoxic1"
"TTC9-0913","P0913","cytotoxic1"
"TTC91-0913","P0913","dysfunctional4"
"TTC94-0913","P0913","cytotoxic1"
"TTC95-0913","P0913","cytotoxic1"
"TTC96-0913","P0913","dysfunctional4"
"NTC10-0913","P0913","cytotoxic1"
"NTC1-0913","P0913","cytotoxic1"
"NTC11-0913","P0913","cytotoxic1"
"NTC3-0913","P0913","cytotoxic1"
"NTC4-0913","P0913","cytotoxic1"
"NTC6-0913","P0913","cytotoxic1"
"NTC7-0913","P0913","cytotoxic1"
"NTC8-0913","P0913","cytotoxic1"
"NTC9-0913","P0913","cytotoxic1"
"PTC10-0913","P0913","cytotoxic1"
"PTC1-0913","P0913","cytotoxic1"
"PTC11-0913","P0913","cytotoxic1"
"PTC12-0913","P0913","naive2"
"PTC13-0913","P0913","naive2"
"PTC14-0913","P0913","naive2"
"PTC15-0913","P0913","cytotoxic1"
"PTC17-0913","P0913","predysfunctional3"
"PTC18-0913","P0913","cytotoxic1"
"PTC19-0913","P0913","cytotoxic1"
"PTC20-0913","P0913","cytotoxic1"
"PTC2-0913","P0913","cytotoxic1"
"PTC21-0913","P0913","cytotoxic1"
"PTC22-0913","P0913","cytotoxic1"
"PTC23-0913","P0913","predysfunctional3"
"PTC24-0913","P0913","cytotoxic1"
"PTC25-0913","P0913","predysfunctional3"
"PTC26-0913","P0913","naive2"
"PTC27-0913","P0913","cytotoxic1"
"PTC28-0913","P0913","naive2"
"PTC29-0913","P0913","cytotoxic1"
"PTC30-0913","P0913","cytotoxic1"
"PTC3-0913","P0913","cytotoxic1"
"PTC31-0913","P0913","cytotoxic1"
"PTC32-0913","P0913","cytotoxic1"
"PTC33-0913","P0913","cytotoxic1"
"PTC34-0913","P0913","naive2"
"PTC35-0913","P0913","predysfunctional3"
"PTC36-0913","P0913","cytotoxic1"
"PTC38-0913","P0913","cytotoxic1"
"PTC39-0913","P0913","naive2"
"PTC40-0913","P0913","cytotoxic1"
"PTC4-0913","P0913","naive2"
"PTC41-0913","P0913","predysfunctional3"
"PTC42-0913","P0913","cytotoxic1"
"PTC43-0913","P0913","cytotoxic1"
"PTC44-0913","P0913","cytotoxic1"
"PTC45-0913","P0913","cytotoxic1"
"PTC46-0913","P0913","cytotoxic1"
"PTC47-0913","P0913","cytotoxic1"
"PTC49-0913","P0913","cytotoxic1"
"PTC50-0913","P0913","naive2"
"PTC5-0913","P0913","naive2"
"PTC51-0913","P0913","cytotoxic1"
"PTC52-0913","P0913","cytotoxic1"
"PTC53-0913","P0913","predysfunctional3"
"PTC54-0913","P0913","cytotoxic1"
"PTC56-0913","P0913","cytotoxic1"
"PTC58-0913","P0913","cytotoxic1"
"PTC59-0913","P0913","cytotoxic1"
"PTC60-0913","P0913","cytotoxic1"
"PTC6-0913","P0913","naive2"
"PTC61-0913","P0913","naive2"
"PTC62-0913","P0913","naive2"
"PTC63-0913","P0913","cytotoxic1"
"PTC64-0913","P0913","predysfunctional3"
"PTC65-0913","P0913","cytotoxic1"
"PTC66-0913","P0913","cytotoxic1"
"PTC67-0913","P0913","cytotoxic1"
"PTC68-0913","P0913","cytotoxic1"
"PTC69-0913","P0913","cytotoxic1"
"PTC70-0913","P0913","cytotoxic1"
"PTC7-0913","P0913","cytotoxic1"
"PTC71-0913","P0913","cytotoxic1"
"PTC72-0913","P0913","naive2"
"PTC73-0913","P0913","cytotoxic1"
"PTC74-0913","P0913","cytotoxic1"
"PTC75-0913","P0913","cytotoxic1"
"PTC76-0913","P0913","naive2"
"PTC77-0913","P0913","cytotoxic1"
"PTC78-0913","P0913","naive2"
"PTC79-0913","P0913","cytotoxic1"
"PTC80-0913","P0913","naive2"
"PTC8-0913","P0913","cytotoxic1"
"PTC81-0913","P0913","cytotoxic1"
"PTC82-0913","P0913","cytotoxic1"
"PTC83-0913","P0913","cytotoxic1"
"PTC84-0913","P0913","cytotoxic1"
"PTC85-0913","P0913","cytotoxic1"
"PTC86-0913","P0913","cytotoxic1"
"PTC87-0913","P0913","cytotoxic1"
"PTC88-0913","P0913","cytotoxic1"
"PTC89-0913","P0913","cytotoxic1"
"PTC9-0913","P0913","cytotoxic1"
"PTC91-0913","P0913","predysfunctional3"
"PTC92-0913","P0913","cytotoxic1"
"PTC93-0913","P0913","cytotoxic1"
"PTC94-0913","P0913","cytotoxic1"
"PTC96-0913","P0913","cytotoxic1"
"TTC100-0913","P0913","cytotoxic1"
"TTC101-0913","P0913","dysfunctional4"
"TTC102-0913","P0913","cytotoxic1"
"TTC103-0913","P0913","cytotoxic1"
"TTC104-0913","P0913","predysfunctional3"
"TTC105-0913","P0913","cytotoxic1"
"TTC108-0913","P0913","predysfunctional3"
"TTC110-0913","P0913","cytotoxic1"
"TTC111-0913","P0913","naive2"
"TTC112-0913","P0913","predysfunctional3"
"TTC113-0913","P0913","cytotoxic1"
"TTC114-0913","P0913","dysfunctional4"
"TTC115-0913","P0913","cytotoxic1"
"TTC116-0913","P0913","cytotoxic1"
"TTC117-0913","P0913","cytotoxic1"
"TTC118-0913","P0913","dysfunctional4"
"TTC119-0913","P0913","cytotoxic1"
"TTC120-0913","P0913","predysfunctional3"
"TTC121-0913","P0913","cytotoxic1"
"TTC122-0913","P0913","predysfunctional3"
"TTC123-0913","P0913","dysfunctional4"
"TTC124-0913","P0913","cytotoxic1"
"TTC125-0913","P0913","dysfunctional4"
"TTC126-0913","P0913","predysfunctional3"
"TTC127-0913","P0913","dysfunctional4"
"TTC128-0913","P0913","cytotoxic1"
"TTC129-0913","P0913","cytotoxic1"
"TTC130-0913","P0913","predysfunctional3"
"TTC131-0913","P0913","cytotoxic1"
"TTC132-0913","P0913","dysfunctional4"
"TTC133-0913","P0913","predysfunctional3"
"TTC135-0913","P0913","predysfunctional3"
"TTC136-0913","P0913","cytotoxic1"
"TTC137-0913","P0913","predysfunctional3"
"TTC138-0913","P0913","cytotoxic1"
"TTC139-0913","P0913","dysfunctional4"
"TTC140-0913","P0913","predysfunctional3"
"TTC141-0913","P0913","dysfunctional4"
"TTC142-0913","P0913","dysfunctional4"
"TTC143-0913","P0913","naive2"
"TTC144-0913","P0913","cytotoxic1"
"TTC145-0913","P0913","predysfunctional3"
"TTC146-0913","P0913","predysfunctional3"
"TTC147-0913","P0913","dysfunctional4"
"TTC148-0913","P0913","dysfunctional4"
"TTC149-0913","P0913","cytotoxic1"
"TTC150-0913","P0913","naive2"
"TTC151-0913","P0913","cytotoxic1"
"TTC152-0913","P0913","cytotoxic1"
"TTC154-0913","P0913","predysfunctional3"
"TTC155-0913","P0913","cytotoxic1"
"TTC156-0913","P0913","predysfunctional3"
"TTC157-0913","P0913","cytotoxic1"
"TTC158-0913","P0913","dysfunctional4"
"TTC159-0913","P0913","cytotoxic1"
"TTC160-0913","P0913","predysfunctional3"
"TTC162-0913","P0913","naive2"
"TTC163-0913","P0913","predysfunctional3"
"TTC164-0913","P0913","cytotoxic1"
"TTC165-0913","P0913","predysfunctional3"
"TTC166-0913","P0913","predysfunctional3"
"TTC167-0913","P0913","predysfunctional3"
"TTC168-0913","P0913","naive2"
"TTC169-0913","P0913","naive2"
"TTC170-0913","P0913","cytotoxic1"
"TTC171-0913","P0913","cytotoxic1"
"TTC172-0913","P0913","cytotoxic1"
"TTC173-0913","P0913","predysfunctional3"
"TTC174-0913","P0913","naive2"
"TTC175-0913","P0913","predysfunctional3"
"TTC176-0913","P0913","cytotoxic1"
"TTC178-0913","P0913","cytotoxic1"
"TTC179-0913","P0913","predysfunctional3"
"TTC180-0913","P0913","predysfunctional3"
"TTC181-0913","P0913","cytotoxic1"
"TTC182-0913","P0913","predysfunctional3"
"TTC183-0913","P0913","cytotoxic1"
"TTC184-0913","P0913","dysfunctional4"
"TTC185-0913","P0913","predysfunctional3"
"TTC186-0913","P0913","dysfunctional4"
"TTC187-0913","P0913","cytotoxic1"
"TTC188-0913","P0913","cytotoxic1"
"TTC189-0913","P0913","cytotoxic1"
"TTC190-0913","P0913","cytotoxic1"
"TTC191-0913","P0913","predysfunctional3"
"TTC192-0913","P0913","cytotoxic1"
"TTC193-0913","P0913","naive2"
"TTC194-0913","P0913","predysfunctional3"
"TTC195-0913","P0913","naive2"
"TTC196-0913","P0913","cytotoxic1"
"TTC197-0913","P0913","predysfunctional3"
"TTC198-0913","P0913","cytotoxic1"
"TTC199-0913","P0913","cytotoxic1"
"TTC200-0913","P0913","cytotoxic1"
"TTC201-0913","P0913","dysfunctional4"
"TTC202-0913","P0913","predysfunctional3"
"TTC203-0913","P0913","dysfunctional4"
"TTC204-0913","P0913","cytotoxic1"
"TTC205-0913","P0913","predysfunctional3"
"TTC206-0913","P0913","cytotoxic1"
"TTC208-0913","P0913","cytotoxic1"
"TTC209-0913","P0913","predysfunctional3"
"TTC210-0913","P0913","predysfunctional3"
"TTC211-0913","P0913","cytotoxic1"
"TTC212-0913","P0913","cytotoxic1"
"TTC213-0913","P0913","cytotoxic1"
"TTC215-0913","P0913","cytotoxic1"
"TTC216-0913","P0913","dysfunctional4"
"TTC217-0913","P0913","predysfunctional3"
"TTC218-0913","P0913","dysfunctional4"
"TTC219-0913","P0913","predysfunctional3"
"TTC220-0913","P0913","predysfunctional3"
"TTC221-0913","P0913","cytotoxic1"
"TTC222-0913","P0913","naive2"
"TTC224-0913","P0913","cytotoxic1"
"TTC225-0913","P0913","cytotoxic1"
"TTC226-0913","P0913","cytotoxic1"
"TTC227-0913","P0913","naive2"
"TTC228-0913","P0913","cytotoxic1"
"TTC229-0913","P0913","cytotoxic1"
"TTC230-0913","P0913","dysfunctional4"
"TTC231-0913","P0913","cytotoxic1"
"TTC232-0913","P0913","cytotoxic1"
"TTC234-0913","P0913","predysfunctional3"
"TTC235-0913","P0913","cytotoxic1"
"TTC236-0913","P0913","cytotoxic1"
"TTC237-0913","P0913","predysfunctional3"
"TTC238-0913","P0913","predysfunctional3"
"TTC239-0913","P0913","naive2"
"TTC240-0913","P0913","naive2"
"TTC241-0913","P0913","dysfunctional4"
"TTC242-0913","P0913","cytotoxic1"
"TTC243-0913","P0913","cytotoxic1"
"TTC244-0913","P0913","cytotoxic1"
"TTC245-0913","P0913","dysfunctional4"
"TTC246-0913","P0913","predysfunctional3"
"TTC247-0913","P0913","dysfunctional4"
"TTC248-0913","P0913","cytotoxic1"
"TTC249-0913","P0913","predysfunctional3"
"TTC250-0913","P0913","cytotoxic1"
"TTC251-0913","P0913","dysfunctional4"
"TTC252-0913","P0913","predysfunctional3"
"TTC253-0913","P0913","cytotoxic1"
"TTC254-0913","P0913","dysfunctional4"
"TTC255-0913","P0913","dysfunctional4"
"TTC256-0913","P0913","naive2"
"TTC257-0913","P0913","cytotoxic1"
"TTC258-0913","P0913","cytotoxic1"
"TTC259-0913","P0913","cytotoxic1"
"TTC260-0913","P0913","dysfunctional4"
"TTC261-0913","P0913","cytotoxic1"
"TTC262-0913","P0913","cytotoxic1"
"TTC263-0913","P0913","cytotoxic1"
"TTC264-0913","P0913","cytotoxic1"
"TTC267-0913","P0913","cytotoxic1"
"TTC268-0913","P0913","cytotoxic1"
"TTC269-0913","P0913","cytotoxic1"
"TTC270-0913","P0913","cytotoxic1"
"TTC271-0913","P0913","predysfunctional3"
"TTC272-0913","P0913","predysfunctional3"
"TTC273-0913","P0913","cytotoxic1"
"TTC274-0913","P0913","cytotoxic1"
"TTC275-0913","P0913","naive2"
"TTC276-0913","P0913","dysfunctional4"
"TTC277-0913","P0913","predysfunctional3"
"TTC278-0913","P0913","naive2"
"TTC279-0913","P0913","naive2"
"TTC281-0913","P0913","dysfunctional4"
"TTC282-0913","P0913","predysfunctional3"
"TTC283-0913","P0913","naive2"
"TTC284-0913","P0913","predysfunctional3"
"TTC285-0913","P0913","cytotoxic1"
"TTC286-0913","P0913","cytotoxic1"
"TTC287-0913","P0913","naive2"
"TTC288-0913","P0913","predysfunctional3"
"TTC97-0913","P0913","predysfunctional3"
"TTC99-0913","P0913","cytotoxic1"
"NTC12-0913","P0913","cytotoxic1"
"NTC13-0913","P0913","cytotoxic1"
"NTC17-0913","P0913","cytotoxic1"
"NTC19-0913","P0913","cytotoxic1"
"NTC20-0913","P0913","cytotoxic1"
"NTC23-0913","P0913","naive2"
"NTC27-0913","P0913","cytotoxic1"
"NTC28-0913","P0913","naive2"
"NTC29-0913","P0913","cytotoxic1"
"NTC37-0913","P0913","dysfunctional4"
"NTC38-0913","P0913","cytotoxic1"
"NTC39-0913","P0913","cytotoxic1"
"NTC40-0913","P0913","cytotoxic1"
"NTC43-0913","P0913","cytotoxic1"
"NTC44-0913","P0913","cytotoxic1"
"NTC46-0913","P0913","cytotoxic1"
"NTC48-0913","P0913","cytotoxic1"
"NTC49-0913","P0913","cytotoxic1"
"NTC52-0913","P0913","cytotoxic1"
"NTC55-0913","P0913","cytotoxic1"
"NTC56-0913","P0913","cytotoxic1"
"NTC70-0913","P0913","cytotoxic1"
"NTC72-0913","P0913","cytotoxic1"
"NTC80-0913","P0913","cytotoxic1"
"NTC84-0913","P0913","predysfunctional3"
"NTC93-0913","P0913","cytotoxic1"
"NTC96-0913","P0913","cytotoxic1"
"NTC10-1010","P1010","cytotoxic1"
"NTC1-1010","P1010","cytotoxic1"
"NTC11-1010","P1010","cytotoxic1"
"NTC12-1010","P1010","cytotoxic1"
"NTC13-1010","P1010","cytotoxic1"
"NTC14-1010","P1010","cytotoxic1"
"NTC15-1010","P1010","cytotoxic1"
"NTC17-1010","P1010","cytotoxic1"
"NTC18-1010","P1010","cytotoxic1"
"NTC19-1010","P1010","predysfunctional3"
"NTC20-1010","P1010","cytotoxic1"
"NTC2-1010","P1010","cytotoxic1"
"NTC22-1010","P1010","predysfunctional3"
"NTC23-1010","P1010","cytotoxic1"
"NTC24-1010","P1010","cytotoxic1"
"NTC25-1010","P1010","cytotoxic1"
"NTC26-1010","P1010","naive2"
"NTC27-1010","P1010","predysfunctional3"
"NTC28-1010","P1010","cytotoxic1"
"NTC29-1010","P1010","cytotoxic1"
"NTC30-1010","P1010","cytotoxic1"
"NTC3-1010","P1010","cytotoxic1"
"NTC31-1010","P1010","cytotoxic1"
"NTC32-1010","P1010","cytotoxic1"
"NTC33-1010","P1010","cytotoxic1"
"NTC36-1010","P1010","naive2"
"NTC37-1010","P1010","naive2"
"NTC38-1010","P1010","cytotoxic1"
"NTC39-1010","P1010","cytotoxic1"
"NTC40-1010","P1010","cytotoxic1"
"NTC4-1010","P1010","cytotoxic1"
"NTC41-1010","P1010","cytotoxic1"
"NTC42-1010","P1010","cytotoxic1"
"NTC43-1010","P1010","cytotoxic1"
"NTC44-1010","P1010","predysfunctional3"
"NTC45-1010","P1010","cytotoxic1"
"NTC46-1010","P1010","dysfunctional4"
"NTC47-1010","P1010","cytotoxic1"
"NTC48-1010","P1010","cytotoxic1"
"NTC49-1010","P1010","cytotoxic1"
"NTC50-1010","P1010","cytotoxic1"
"NTC5-1010","P1010","cytotoxic1"
"NTC51-1010","P1010","cytotoxic1"
"NTC52-1010","P1010","cytotoxic1"
"NTC53-1010","P1010","cytotoxic1"
"NTC54-1010","P1010","cytotoxic1"
"NTC56-1010","P1010","cytotoxic1"
"NTC57-1010","P1010","cytotoxic1"
"NTC58-1010","P1010","cytotoxic1"
"NTC60-1010","P1010","cytotoxic1"
"NTC6-1010","P1010","cytotoxic1"
"NTC61-1010","P1010","cytotoxic1"
"NTC62-1010","P1010","predysfunctional3"
"NTC63-1010","P1010","cytotoxic1"
"NTC64-1010","P1010","predysfunctional3"
"NTC65-1010","P1010","cytotoxic1"
"NTC66-1010","P1010","dysfunctional4"
"NTC67-1010","P1010","cytotoxic1"
"NTC68-1010","P1010","cytotoxic1"
"NTC69-1010","P1010","cytotoxic1"
"NTC70-1010","P1010","cytotoxic1"
"NTC7-1010","P1010","cytotoxic1"
"NTC71-1010","P1010","cytotoxic1"
"NTC72-1010","P1010","cytotoxic1"
"NTC74-1010","P1010","cytotoxic1"
"NTC75-1010","P1010","cytotoxic1"
"NTC76-1010","P1010","dysfunctional4"
"NTC77-1010","P1010","dysfunctional4"
"NTC78-1010","P1010","cytotoxic1"
"NTC79-1010","P1010","predysfunctional3"
"NTC80-1010","P1010","cytotoxic1"
"NTC8-1010","P1010","cytotoxic1"
"NTC82-1010","P1010","cytotoxic1"
"NTC83-1010","P1010","cytotoxic1"
"NTC85-1010","P1010","cytotoxic1"
"NTC86-1010","P1010","cytotoxic1"
"NTC87-1010","P1010","cytotoxic1"
"NTC88-1010","P1010","cytotoxic1"
"NTC89-1010","P1010","predysfunctional3"
"NTC90-1010","P1010","cytotoxic1"
"NTC91-1010","P1010","cytotoxic1"
"NTC92-1010","P1010","cytotoxic1"
"NTC93-1010","P1010","cytotoxic1"
"NTC94-1010","P1010","cytotoxic1"
